Time,Channel 2
2.744055200,0
2.752777280,1
2.753937120,0
2.754026560,1
2.754157600,0
2.754536960,1
2.754920320,0
2.755297760,1
2.755683200,0
2.756062560,1
2.756318720,0
2.756568960,1
2.756827200,0
2.757079520,1
2.757208640,0
2.757588000,1
2.757717120,0
2.757840320,1
2.758098400,0
2.758477920,1
2.758734080,0
2.759111520,1
2.759242560,0
2.759621920,1
2.760005280,0
2.760382720,1
2.760768000,0
2.761147360,1
2.761403680,0
2.761653920,1
2.761912160,0
2.762164480,1
2.762293600,0
2.762672960,1
2.762802080,0
2.762925120,1
2.763183360,0
2.763562720,1
2.763819040,0
2.764323520,1
2.764581760,0
2.764706880,1
2.764836000,0
2.764961120,1
2.765090240,0
2.765215360,1
2.765344480,0
2.765721920,1
2.765980160,0
2.766105280,1
2.766234400,0
2.766359520,1
2.766488640,0
2.766740800,1
2.766868000,0
2.767120160,1
2.767378400,0
2.767503520,1
2.767632640,0
2.767757760,1
2.767886880,0
2.768012160,1
2.768141120,0
2.768518560,1
2.768776800,0
2.768901920,1
2.769031040,0
2.769283360,1
2.769539520,0
2.769916960,1
2.770175200,0
2.770427360,1
2.770556480,0
2.770681600,1
2.770937920,0
2.771315360,1
2.771446400,0
2.771571520,1
2.771827840,0
2.771952960,1
2.772082080,0
2.772207200,1
2.772336320,0
2.772713600,1
2.772971840,0
2.773224160,1
2.773480320,0
2.773605440,1
2.773734560,0
2.774112000,1
2.774370240,0
2.774495360,1
2.774624480,0
2.774876800,1
2.775005920,0
2.775131040,1
2.775258080,0
2.775510400,1
2.775768640,0
2.776020800,1
2.776277120,0
2.776529280,1
2.776656480,0
2.776908800,1
2.777039840,0
2.777164960,1
2.777421280,0
2.777546400,1
2.777675520,0
2.777927680,1
2.778054880,0
2.778307040,1
2.778565280,0
2.778690400,1
2.778819520,0
2.778944640,1
2.779073760,0
2.779198880,1
2.779328000,0
2.779705440,1
2.779963680,0
2.780088800,1
2.780217920,0
2.780343040,1
2.780472160,0
2.780597280,1
2.780726400,0
2.781103840,1
2.781362080,0
2.781614240,1
2.781743360,0
2.781868480,1
2.782124800,0
2.782502240,1
2.782760320,0
2.782885440,1
2.783014560,0
2.783139840,1
2.783268960,0
2.783394080,1
2.783523200,0
2.783900480,1
2.784031680,0
2.784156800,1
2.784285920,0
2.784411040,1
2.784667200,0
2.784919520,1
2.785046560,0
2.785298880,1
2.785557120,0
2.785809280,1
2.786065600,0
2.786190720,1
2.786319840,0
2.786697280,1
2.786955520,0
2.787207680,1
2.787336800,0
2.787461920,1
2.787591040,0
2.787716160,1
2.787843360,0
2.788095520,1
2.788226720,0
2.788351840,1
2.788480960,0
2.788606080,1
2.788862240,0
2.788987520,1
2.789116640,0
2.789493920,1
2.789752160,0
2.790004480,1
2.790133600,0
2.790258720,1
2.790387840,0
2.790512960,1
2.790640000,0
2.790892320,1
2.791150560,0
2.791275680,1
2.791404800,0
2.791529920,1
2.791659040,0
2.791911360,1
2.792038400,0
2.792290720,1
2.792421760,0
2.792546880,1
2.792676000,0
2.792801120,1
2.792930240,0
2.793055360,1
2.793184480,0
2.793309600,1
2.793436800,0
2.793688960,1
2.793947200,0
2.794199520,1
2.794455680,0
2.794580960,1
2.794709920,0
2.795045600,1
2.796263200,0
2.796358560,1
2.796489600,0
2.796869120,1
2.797252480,0
2.797629760,1
2.798015200,0
2.798394560,1
2.798650720,0
2.798901120,1
2.799159200,0
2.799411520,1
2.799540640,0
2.799920000,1
2.800049120,0
2.800172320,1
2.800430560,0
2.800809920,1
2.801066080,0
2.801443520,1
2.801574560,0
2.801953920,1
2.802337280,0
2.802714720,1
2.803100160,0
2.803479520,1
2.803735680,0
2.803985920,1
2.804244160,0
2.804496480,1
2.804625600,0
2.805004960,1
2.805134080,0
2.805257280,1
2.805515520,0
2.805894880,1
2.806151040,0
2.806655520,1
2.806913760,0
2.807038880,1
2.807168000,0
2.807293120,1
2.807422240,0
2.807547360,1
2.807676480,0
2.808053920,1
2.808312160,0
2.808437280,1
2.808566400,0
2.808691520,1
2.808820640,0
2.809072960,1
2.809200000,0
2.809452320,1
2.809710560,0
2.809835680,1
2.809964800,0
2.810089920,1
2.810219040,0
2.810344160,1
2.810473280,0
2.810850720,1
2.811108960,0
2.811234080,1
2.811363200,0
2.811615360,1
2.811871680,0
2.812248960,1
2.812507200,0
2.812759520,1
2.812888640,0
2.813013760,1
2.813269920,0
2.813647360,1
2.813778400,0
2.813903680,1
2.814159840,0
2.814284960,1
2.814414080,0
2.814539200,1
2.814668320,0
2.815045760,1
2.815304000,0
2.815556160,1
2.815812480,0
2.815937600,1
2.816066720,0
2.816444160,1
2.816702400,0
2.816827520,1
2.816956640,0
2.817208800,1
2.817337920,0
2.817463040,1
2.817590240,0
2.817842400,1
2.818100640,0
2.818352960,1
2.818609120,0
2.818861440,1
2.818988640,0
2.819240800,1
2.819371840,0
2.819497120,1
2.819753280,0
2.819878400,1
2.820007520,0
2.820259840,1
2.820386880,0
2.820639200,1
2.820897440,0
2.821022560,1
2.821151680,0
2.821276800,1
2.821405920,0
2.821531040,1
2.821660160,0
2.822037600,1
2.822295840,0
2.822420960,1
2.822550080,0
2.822675200,1
2.822804320,0
2.822929440,1
2.823058560,0
2.823435840,1
2.823694080,0
2.823946400,1
2.824075520,0
2.824200640,1
2.824456800,0
2.824834240,1
2.825092480,0
2.825217600,1
2.825346720,0
2.825471840,1
2.825600960,0
2.825726080,1
2.825855200,0
2.826232640,1
2.826363680,0
2.826488800,1
2.826617920,0
2.826743040,1
2.826999360,0
2.827251520,1
2.827378720,0
2.827631040,1
2.827889280,0
2.828141440,1
2.828397760,0
2.828522880,1
2.828652000,0
2.829029280,1
2.829287520,0
2.829539840,1
2.829668960,0
2.829794080,1
2.829923200,0
2.830048320,1
2.830175520,0
2.830427680,1
2.830558720,0
2.830684000,1
2.830813120,0
2.830938240,1
2.831194400,0
2.831319520,1
2.831448640,0
2.831826080,1
2.832084320,0
2.832336480,1
2.832465600,0
2.832590720,1
2.832719840,0
2.832844960,1
2.832972160,0
2.833224480,1
2.833482720,0
2.833607840,1
2.833736960,0
2.833862080,1
2.833991200,0
2.834243360,1
2.834370560,0
2.834622720,1
2.834753920,0
2.834879040,1
2.835008160,0
2.835133280,1
2.835262400,0
2.835387520,1
2.835516640,0
2.835641760,1
2.835768960,0
2.836021120,1
2.836279360,0
2.836531680,1
2.836787840,0
2.836912960,1
2.837042080,0
2.837546560,1
2.837677760,0
2.838057120,1
2.838440480,0
2.838817920,1
2.839203200,0
2.839582560,1
2.839838880,0
2.840089120,1
2.840347360,0
2.840599520,1
2.840728640,0
2.841108000,1
2.841237120,0
2.841360320,1
2.841618560,0
2.841997920,1
2.842254240,0
2.842631520,1
2.842762720,0
2.843142080,1
2.843525440,0
2.843902880,1
2.844288160,0
2.844667520,1
2.844923840,0
2.845174080,1
2.845432320,0
2.845684480,1
2.845813600,0
2.846192960,1
2.846322080,0
2.846445280,1
2.846703520,0
2.847082880,1
2.847339200,0
2.847843680,1
2.848101920,0
2.848227040,1
2.848356160,0
2.848481280,1
2.848610400,0
2.848735520,1
2.848864640,0
2.849241920,1
2.849500160,0
2.849625280,1
2.849754400,0
2.849879680,1
2.850008800,0
2.850260960,1
2.850388160,0
2.850640320,1
2.850898560,0
2.851023680,1
2.851152800,0
2.851277920,1
2.851407040,0
2.851532160,1
2.851661280,0
2.852038720,1
2.852296960,0
2.852422080,1
2.852551200,0
2.852803520,1
2.853059680,0
2.853437120,1
2.853695360,0
2.853947520,1
2.854076640,0
2.854201760,1
2.854458080,0
2.854835520,1
2.854966560,0
2.855091680,1
2.855348000,0
2.855473120,1
2.855602240,0
2.855727360,1
2.855856480,0
2.856233760,1
2.856492000,0
2.856744320,1
2.857000480,0
2.857125600,1
2.857254720,0
2.857632160,1
2.857890400,0
2.858015520,1
2.858144640,0
2.858396960,1
2.858526080,0
2.858651200,1
2.858778240,0
2.859030560,1
2.859288800,0
2.859540960,1
2.859797280,0
2.860049440,1
2.860176640,0
2.860428960,1
2.860560000,0
2.860685120,1
2.860941440,0
2.861066560,1
2.861195680,0
2.861447840,1
2.861575040,0
2.861827200,1
2.862085440,0
2.862210560,1
2.862339680,0
2.862464800,1
2.862593920,0
2.862719040,1
2.862848160,0
2.863225600,1
2.863483840,0
2.863608960,1
2.863738080,0
2.863863200,1
2.863992320,0
2.864117440,1
2.864246560,0
2.864624000,1
2.864882240,0
2.865134400,1
2.865263520,0
2.865388640,1
2.865644960,0
2.866022400,1
2.866280640,0
2.866405760,1
2.866534880,0
2.866660000,1
2.866789120,0
2.866914240,1
2.867043360,0
2.867420640,1
2.867551840,0
2.867676960,1
2.867806080,0
2.867931200,1
2.868187360,0
2.868439680,1
2.868566880,0
2.868819040,1
2.869077280,0
2.869329600,1
2.869585760,0
2.869710880,1
2.869840000,0
2.870217440,1
2.870475680,0
2.870727840,1
2.870856960,0
2.870982080,1
2.871111200,0
2.871236480,1
2.871363520,0
2.871615840,1
2.871746880,0
2.871872000,1
2.872001120,0
2.872126240,1
2.872382560,0
2.872507680,1
2.872636800,0
2.873014080,1
2.873272320,0
2.873524640,1
2.873653760,0
2.873778880,1
2.873908000,0
2.874033120,1
2.874160320,0
2.874412480,1
2.874670720,0
2.874795840,1
2.874924960,0
2.875050080,1
2.875179200,0
