Time [s],Channel 0
0.885243040,0
0.916035840,1
0.917294080,0
0.917425760,1
0.917806720,0
0.918191680,1
0.918570560,0
0.918957440,1
0.919338400,0
0.919595680,1
0.919846880,0
0.920106240,1
0.920359520,0
0.920489120,1
0.920870080,0
0.920999680,1
0.921123360,0
0.921382560,1
0.921763520,0
0.922020800,1
0.922399840,0
0.922531360,1
0.922912320,0
0.923297280,1
0.923676160,0
0.924063040,1
0.924444000,0
0.924701280,1
0.924952640,0
0.925211840,1
0.925465120,0
0.925594720,1
0.925975680,0
0.926105280,1
0.926228960,0
0.926488320,1
0.926869120,0
0.927126400,1
0.927633120,0
0.927892320,1
0.928017920,0
0.928147520,1
0.928273280,0
0.928402880,1
0.928528480,0
0.928658080,1
0.929037120,0
0.929296320,1
0.929422080,0
0.929551680,1
0.929677280,0
0.929806880,1
0.930060160,0
0.930187840,1
0.930441120,0
0.930700480,1
0.930826080,0
0.930955680,1
0.931081280,0
0.931211040,1
0.931336640,0
0.931466240,1
0.931845280,0
0.932104480,1
0.932230080,0
0.932359680,1
0.932613120,0
0.932870240,1
0.933249280,0
0.933508480,1
0.933761760,0
0.933891520,1
0.934017120,0
0.934274400,1
0.934653280,0
0.934912640,1
0.935038240,0
0.935167840,1
0.935293440,0
0.935423200,1
0.935548800,0
0.935678400,1
0.936057440,0
0.936316640,1
0.936569920,0
0.936699520,1
0.936825280,0
0.936954880,1
0.937080480,0
0.937208160,1
0.937461440,0
0.937720640,1
0.937846400,0
0.937976000,1
0.938229280,0
0.938486560,1
0.938865440,0
0.939124800,1
0.939378080,0
0.939635360,1
0.939760960,0
0.939890560,1
0.940269440,0
0.940528800,1
0.940782080,0
0.941039360,1
0.941164960,0
0.941294560,1
0.941673600,0
0.941932800,1
0.942058560,0
0.942188160,1
0.942313760,0
0.942443360,1
0.942569120,0
0.942698720,1
0.943077600,0
0.943336800,1
0.943462560,0
0.943592160,1
0.943717760,0
0.943847520,1
0.944100800,0
0.944228320,1
0.944481600,0
0.944740960,1
0.944994240,0
0.945251520,1
0.945504800,0
0.945632480,1
0.945885760,0
0.946144960,1
0.946270560,0
0.946400320,1
0.946525920,0
0.946655520,1
0.946781280,0
0.946910880,1
0.947289760,0
0.947549120,1
0.947674720,0
0.947804320,1
0.948057600,0
0.948187200,1
0.948312960,0
0.948440480,1
0.948693760,0
0.948825440,1
0.948951040,0
0.949080800,1
0.949206400,0
0.949336000,1
0.949461760,0
0.949718880,1
0.950097920,0
0.950229440,1
0.950355200,0
0.950484800,1
0.950610400,0
0.950867680,1
0.951120960,0
0.951248640,1
0.951501920,0
0.951761280,1
0.952014560,0
0.952271840,1
0.952525120,0
0.952652640,1
0.952906080,0
0.953037600,1
0.953163360,0
0.953420480,1
0.953673920,0
0.953931040,1
0.954310080,0
0.954441760,1
0.954567360,0
0.954824640,1
0.955077920,0
0.955207520,1
0.955333120,0
0.955460800,1
0.955714080,0
0.955973440,1
0.956099040,0
0.956228640,1
0.956481920,0
0.956611520,1
0.956737280,0
0.956864800,1
0.957118240,0
0.957249760,1
0.957375520,0
0.957505120,1
0.957630720,0
0.957888000,1
0.958141280,0
0.958268960,1
0.959798560,0
0.959930080,1
0.960311040,0
0.960696000,1
0.961074880,0
0.961461760,1
0.961842720,0
0.962100000,1
0.962351360,0
0.962610560,1
0.962863840,0
0.962993440,1
0.963374400,0
0.963504000,1
0.963627680,0
0.963887040,1
0.964268000,0
0.964525280,1
0.964904160,0
0.965035840,1
0.965416640,0
0.965801600,1
0.966180640,0
0.966567520,1
0.966948480,0
0.967205760,1
0.967456960,0
0.967716320,1
0.967969600,0
0.968099200,1
0.968480160,0
0.968609760,1
0.968733440,0
0.968992640,1
0.969373600,0
0.969630880,1
0.970137440,0
0.970396800,1
0.970522400,0
0.970652000,1
0.970777600,0
0.970907360,1
0.971032960,0
0.971162560,1
0.971541600,0
0.971800800,1
0.971926400,0
0.972056000,1
0.972181760,0
0.972311360,1
0.972564640,0
0.972692320,1
0.972945600,0
0.973204800,1
0.973330560,0
0.973460160,1
0.973585760,0
0.973715360,1
0.973841120,0
0.973970720,1
0.974349600,0
0.974608960,1
0.974734560,0
0.974864160,1
0.975117440,0
0.975374720,1
0.975753760,0
0.976012960,1
0.976266240,0
0.976395840,1
0.976521600,0
0.976778880,1
0.977157760,0
0.977416960,1
0.977542720,0
0.977672320,1
0.977797920,0
0.977927520,1
0.978053280,0
0.978182880,1
0.978561760,0
0.978821120,1
0.979074400,0
0.979204000,1
0.979329600,0
0.979459360,1
0.979584960,0
0.979712640,1
0.979965920,0
0.980225120,1
0.980350720,0
0.980480480,1
0.980733760,0
0.980991040,1
0.981369920,0
0.981629280,1
0.981882560,0
0.982139840,1
0.982265440,0
0.982395040,1
0.982774080,0
0.983033280,1
0.983286560,0
0.983543840,1
0.983669440,0
0.983799200,1
0.984178080,0
0.984437280,1
0.984563040,0
0.984692640,1
0.984818240,0
0.984947840,1
0.985073600,0
0.985203200,1
0.985582080,0
0.985841440,1
0.985967040,0
0.986096640,1
0.986222400,0
0.986352000,1
0.986605280,0
0.986732960,1
0.986986240,0
0.987245440,1
0.987498720,0
0.987756000,1
0.988009280,0
0.988136960,1
0.988390240,0
0.988649440,1
0.988775200,0
0.988904800,1
0.989030400,0
0.989160160,1
0.989285760,0
0.989415360,1
0.989794240,0
0.990053600,1
0.990179200,0
0.990308800,1
0.990562080,0
0.990691840,1
0.990817440,0
0.990945120,1
0.991198400,0
0.991329920,1
0.991455680,0
0.991585280,1
0.991710880,0
0.991840640,1
0.991966240,0
0.992223520,1
0.992602400,0
0.992734080,1
0.992859680,0
0.992989280,1
0.993115040,0
0.993372320,1
0.993625600,0
0.993753120,1
0.994006560,0
0.994265760,1
0.994519040,0
0.994776320,1
0.995029600,0
0.995157280,1
0.995410560,0
0.995542240,1
0.995667840,0
0.995925120,1
0.996178400,0
0.996435680,1
0.996814560,0
0.996946240,1
0.997071840,0
0.997329120,1
0.997582400,0
0.997712160,1
0.997837760,0
0.997965440,1
0.998218720,0
0.998477920,1
0.998603680,0
0.998733280,1
0.998986560,0
0.999116160,1
0.999241760,0
0.999369440,1
0.999622720,0
0.999754400,1
0.999880000,0
1.000009600,1
1.000135360,0
1.000392640,1
1.000645920,0
1.000773600,1
1.001154400,0
1.001286080,1
1.001667040,0
1.002051840,1
1.002430720,0
1.002817600,1
1.003198560,0
1.003455840,1
1.003707040,0
1.003966240,1
1.004219520,0
1.004349280,1
1.004730080,0
1.004859680,1
1.004983360,0
1.005242560,1
1.005623520,0
1.005880800,1
1.006259680,0
1.006391360,1
1.006772160,0
1.007157120,1
1.007536000,0
1.007922880,1
1.008303840,0
1.008560960,1
1.008812320,0
1.009071520,1
1.009324800,0
1.009454400,1
1.009835360,0
1.009964960,1
1.010088640,0
1.010347840,1
1.010728800,0
1.010986080,1
1.011492640,0
1.011751840,1
1.011877440,0
1.012007040,1
1.012132800,0
1.012262400,1
1.012388000,0
1.012517600,1
1.012896480,0
1.013155840,1
1.013281440,0
1.013411040,1
1.013536640,0
1.013666240,1
1.013919520,0
1.014047200,1
1.014300480,0
1.014559680,1
1.014685280,0
1.014815040,1
1.014940640,0
1.015070240,1
1.015195840,0
1.015325440,1
1.015704480,0
1.015963680,1
1.016089280,0
1.016218880,1
1.016472160,0
1.016729440,1
1.017108320,0
1.017367680,1
1.017620800,0
1.017750560,1
1.017876160,0
1.018133440,1
1.018512320,0
1.018771520,1
1.018897120,0
1.019026880,1
1.019152480,0
1.019282080,1
1.019407680,0
1.019537280,1
1.019916320,0
1.020175520,1
1.020428800,0
1.020558400,1
1.020684000,0
1.020813600,1
1.020939360,0
1.021066880,1
1.021320160,0
1.021579520,1
1.021705120,0
1.021834720,1
1.022088000,0
1.022345280,1
1.022724160,0
1.022983360,1
1.023236640,0
1.023493920,1
1.023619520,0
1.023749120,1
1.024128160,0
1.024387360,1
1.024640640,0
1.024897920,1
1.025023520,0
1.025153120,1
1.025532000,0
1.025791200,1
1.025916960,0
1.026046560,1
1.026172160,0
1.026301760,1
1.026427360,0
1.026557120,1
1.026936000,0
1.027195200,1
1.027320800,0
1.027450400,1
1.027576160,0
1.027705760,1
1.027959040,0
1.028086720,1
1.028339840,0
1.028599200,1
1.028852480,0
1.029109760,1
1.029363040,0
1.029490560,1
1.029743840,0
1.030003040,1
1.030128800,0
1.030258400,1
1.030384000,0
1.030513600,1
1.030639360,0
1.030768960,1
1.031147840,0
1.031407040,1
1.031532640,0
1.031662400,1
1.031915520,0
1.032045280,1
1.032170880,0
1.032298560,1
1.032551840,0
1.032683360,1
1.032808960,0
1.032938720,1
1.033064320,0
1.033193920,1
1.033319520,0
1.033576800,1
1.033955680,0
1.034087360,1
1.034212960,0
1.034342560,1
1.034468160,0
1.034725440,1
1.034978720,0
1.035106400,1
1.035359680,0
1.035618880,1
1.035872160,0
1.036129440,1
1.036382720,0
1.036510400,1
1.036763680,0
1.036895200,1
1.037020800,0
1.037278080,1
1.037531360,0
