Time [s],TrunkUnknown,LUUnknown1,LUUnknown2,LUUnknown3,LUUnknown4,LUKnown,Clock
2.744054642,0,0,0,0,0,0,1
2.744104562,0,0,0,0,0,0,1
2.744154482,0,0,0,0,0,0,1
2.744204402,0,0,0,0,0,0,1
2.744254322,0,0,0,0,0,0,1
2.744304242,0,0,0,0,0,0,1
2.744354162,0,0,0,0,0,0,1
2.744404082,0,0,0,0,0,0,1
2.744454002,0,0,0,0,0,0,1
2.744503922,0,0,0,0,0,0,1
2.744553842,0,0,0,0,0,0,0
2.744603762,0,0,0,0,0,0,0
2.744653682,0,0,0,0,0,0,0
2.744703602,0,0,0,0,0,0,0
2.744753522,0,0,0,0,0,0,0
2.744803442,0,0,0,0,0,0,0
2.744853362,0,0,0,0,0,0,0
2.744903282,0,0,0,0,0,0,0
2.744953202,0,0,0,0,0,0,0
2.745003122,0,0,0,0,0,0,0
2.745053042,0,0,0,0,0,0,0
2.745102962,0,0,0,0,0,0,0
2.745152882,0,0,0,0,0,0,0
2.745202802,1,1,1,1,1,1,1
2.745252722,1,1,1,1,1,1,1
2.745302642,1,1,1,1,1,1,1
2.745352562,1,1,1,1,1,1,1
2.745402482,1,1,1,1,1,1,1
2.745452402,1,1,1,1,1,1,1
2.745502322,1,1,1,1,1,1,1
2.745552242,1,1,1,1,1,1,1
2.745602162,1,1,1,1,1,1,1
2.745652082,1,1,1,1,1,1,1
2.745702002,1,1,1,1,1,1,1
2.745751922,1,1,1,1,1,1,1
2.745801842,1,1,1,1,1,1,0
2.745851762,1,1,1,1,1,1,0
2.745901682,1,1,1,1,1,1,0
2.745951602,1,1,1,1,1,1,0
2.746001522,1,1,1,1,1,1,0
2.746051442,1,1,1,1,1,1,0
2.746101362,1,1,1,1,1,1,0
2.746151282,1,1,1,1,1,1,0
2.746201202,1,1,1,1,1,1,0
2.746251122,1,1,1,1,1,1,0
2.746301042,1,1,1,1,1,1,0
2.746350962,1,1,1,1,1,1,0
2.746400882,1,1,1,1,1,1,0
2.746450802,1,1,1,1,1,1,1
2.746500722,1,1,1,1,1,1,1
2.746550642,1,1,1,1,1,1,1
2.746600562,1,1,1,1,1,1,1
2.746650482,1,1,1,1,1,1,1
2.746700402,1,1,1,1,1,1,1
2.746750322,1,1,1,1,1,1,1
2.746800242,1,1,1,1,1,1,1
2.746850162,1,1,1,1,1,1,1
2.746900082,1,1,1,1,1,1,1
2.746950002,1,1,1,1,1,1,1
2.746999922,1,1,1,1,1,1,1
2.747049842,1,1,1,1,1,1,0
2.747099762,1,1,1,1,1,1,0
2.747149682,1,1,1,1,1,1,0
2.747199602,1,1,1,1,1,1,0
2.747249522,1,1,1,1,1,1,0
2.747299442,1,1,1,1,1,1,0
2.747349362,1,1,1,1,1,1,0
2.747399282,1,1,1,1,1,1,0
2.747449202,1,1,1,1,1,1,0
2.747499122,1,1,1,1,1,1,0
2.747549042,1,1,1,1,1,1,0
2.747598962,1,1,1,1,1,1,0
2.747648882,1,1,1,1,1,1,0
2.747698802,1,1,1,1,1,1,1
2.747748722,1,1,1,1,1,1,1
2.747798642,1,1,1,1,1,1,1
2.747848562,1,1,1,1,1,1,1
