Time [s],Channel 0
1.060318720,0
1.127419200,1
1.128755360,0
1.128887040,1
1.129268000,0
1.129652960,1
1.130031840,0
1.130418880,1
1.130799840,0
1.131057120,1
1.131308480,0
1.131567680,1
1.131820960,0
1.131950720,1
1.132331680,0
1.132461280,1
1.132584960,0
1.132844160,1
1.133225120,0
1.133482400,1
1.133861440,0
1.133993120,1
1.134374080,0
1.134759040,1
1.135137920,0
1.135524800,1
1.135905920,0
1.136163200,1
1.136414400,0
1.136673760,1
1.136927040,0
1.137056640,1
1.137437600,0
1.137567360,1
1.137691040,0
1.137950240,1
1.138331200,0
1.138588480,1
1.139095200,0
1.139354400,1
1.139480000,0
1.139609760,1
1.139735360,0
1.139864960,1
1.139990720,0
1.140120320,1
1.140499360,0
1.140758560,1
1.140884160,0
1.141013920,1
1.141267200,0
1.141524480,1
1.141903360,0
1.142162720,1
1.142288320,0
1.142418080,1
1.142543680,0
1.142673280,1
1.142799040,0
1.142928640,1
1.143307520,0
1.143566880,1
1.143692480,0
1.143822240,1
1.144075520,0
1.144332800,1
1.144711680,0
1.144971040,1
1.145224320,0
1.145353920,1
1.145479680,0
1.145736960,1
1.146115840,0
1.146375200,1
1.146500800,0
1.146630400,1
1.146756160,0
1.146885760,1
1.147011360,0
1.147141120,1
1.147520000,0
1.147779360,1
1.148032640,0
1.148162240,1
1.148288000,0
1.148417600,1
1.148543200,0
1.148670880,1
1.148924160,0
1.149183520,1
1.149309120,0
1.149438720,1
1.149692160,0
1.149949440,1
1.150328320,0
1.150587680,1
1.150840960,0
1.151098240,1
1.151224000,0
1.151353600,1
1.151732480,0
1.151991840,1
1.152245120,0
1.152502400,1
1.152628160,0
1.152757760,1
1.153136640,0
1.153396000,1
1.153521600,0
1.153651360,1
1.153776960,0
1.153906560,1
1.154032320,0
1.154161920,1
1.154540800,0
1.154800160,1
1.154925760,0
1.155055520,1
1.155181120,0
1.155310720,1
1.155564000,0
1.155691680,1
1.155944960,0
1.156204320,1
1.156457600,0
1.156587200,1
1.156712960,0
1.156842560,1
1.156968160,0
1.157095840,1
1.157349120,0
1.157608480,1
1.157734080,0
1.157863840,1
1.157989440,0
1.158119040,1
1.158244800,0
1.158374400,1
1.158753280,0
1.158884960,1
1.159010560,0
1.159140320,1
1.159265920,0
1.159523200,1
1.159648960,0
1.159778560,1
1.160157440,0
1.160289120,1
1.160414720,0
1.160672000,1
1.160925440,0
1.161055040,1
1.161180640,0
1.161308320,1
1.161561600,0
1.161693280,1
1.161818880,0
1.162076160,1
1.162201920,0
1.162331520,1
1.162584800,0
1.162712480,1
1.162965760,0
1.163097440,1
1.163223040,0
1.163480320,1
1.163606080,0
1.163735680,1
1.163988960,0
1.164116640,1
1.164369920,0
1.164629280,1
1.164754880,0
1.164884480,1
1.165010240,0
1.165139840,1
1.165393120,0
1.165520800,1
1.165774080,0
1.166033440,1
1.166159040,0
1.166288640,1
1.166414400,0
1.166544000,1
1.166669760,0
1.166799360,1
1.167178240,0
1.167437600,1
1.167563200,0
1.167692960,1
1.167818560,0
1.167948160,1
1.168201440,0
1.168329120,1
1.168582400,0
1.168714080,1
1.168839680,0
1.168969440,1
1.169095040,0
1.169224640,1
1.169350400,0
1.169480000,1
1.169605600,0
1.169733280,1
1.171263040,0
1.171394560,1
1.171775520,0
1.172160480,1
1.172539520,0
1.172926400,1
1.173307360,0
1.173564640,1
1.173816000,0
