Time [s],Channel 0
1.238144242,3.055
1.238149362,3.055
1.238154482,3.055
1.238159602,3.055
1.238164722,3.055
1.238169842,3.055
1.238174962,3.055
1.238180082,3.055
1.238185202,3.055
1.238190322,3.055
1.238195442,3.055
1.238200562,3.055
1.238205682,3.055
1.238210802,3.055
1.238215922,3.055
1.238221042,3.055
1.238226162,3.055
1.238231282,3.055
1.238236402,3.055
1.238241522,3.055
1.238246642,3.055
1.238251762,3.055
1.238256882,3.055
1.238262002,3.055
1.238267122,3.055
1.238272242,3.055
1.238277362,3.055
1.238282482,3.055
1.238287602,3.055
1.238292722,3.055
1.238297842,3.055
1.238302962,3.055
1.238308082,3.055
1.238313202,3.055
1.238318322,3.055
1.238323442,3.055
1.238328562,3.055
1.238333682,3.055
1.238338802,3.055
1.238343922,3.055
1.238349042,3.055
1.238354162,3.055
1.238359282,3.055
1.238364402,3.055
1.238369522,3.055
1.238374642,3.055
1.238379762,3.055
1.238384882,3.055
1.238390002,3.055
1.238395122,3.055
1.238400242,3.055
1.238405362,3.055
1.238410482,3.055
1.238415602,3.055
1.238420722,3.055
1.238425842,3.055
1.238430962,3.055
1.238436082,3.055
1.238441202,3.055
1.238446322,3.055
1.238451442,3.055
1.238456562,3.055
1.238461682,3.055
1.238466802,3.055
1.238471922,3.055
1.238477042,3.055
1.238482162,3.055
1.238487282,3.055
1.238492402,3.055
1.238497522,3.055
1.238502642,3.055
1.238507762,3.055
1.238512882,3.055
1.238518002,3.055
1.238523122,3.055
1.238528242,3.055
1.238533362,3.055
1.238538482,3.055
1.238543602,3.055
1.238548722,3.055
1.238553842,3.055
1.238558962,3.055
1.238564082,3.055
1.238569202,3.055
1.238574322,3.055
1.238579442,3.055
1.238584562,3.055
1.238589682,3.055
1.238594802,3.055
1.238599922,3.055
1.238605042,3.055
1.238610162,3.055
1.238615282,3.055
1.238620402,3.055
1.238625522,3.055
1.238630642,3.055
1.238635762,3.055
1.238640882,3.055
1.238646002,3.055
1.238651122,3.055
1.238656242,3.055
1.238661362,3.055
1.238666482,3.055
1.238671602,3.055
1.238676722,3.055
1.238681842,3.055
1.238686962,3.055
1.238692082,3.055
1.238697202,3.055
1.238702322,3.055
1.238707442,3.055
1.238712562,3.055
1.238717682,3.055
1.238722802,3.055
1.238727922,3.055
1.238733042,3.060
1.238738162,3.055
1.238743282,3.055
1.238748402,3.055
1.238753522,3.055
1.238758642,3.055
1.238763762,3.055
1.238768882,3.055
1.238774002,3.055
1.238779122,3.055
1.238784242,3.055
1.238789362,3.055
1.238794482,3.055
1.238799602,3.055
1.238804722,3.055
1.238809842,3.055
1.238814962,3.055
1.238820082,3.055
1.238825202,3.055
1.238830322,3.055
1.238835442,3.055
1.238840562,3.055
1.238845682,3.055
1.238850802,3.055
1.238855922,3.055
1.238861042,3.055
1.238866162,3.055
1.238871282,3.055
1.238876402,3.055
1.238881522,3.055
1.238886642,3.055
1.238891762,3.055
1.238896882,3.055
1.238902002,3.055
1.238907122,3.055
1.238912242,3.055
1.238917362,3.055
1.238922482,3.055
1.238927602,3.055
1.238932722,3.050
1.238937842,3.050
1.238942962,3.045
1.238948082,3.045
1.238953202,3.040
1.238958322,3.040
1.238963442,3.035
1.238968562,3.035
1.238973682,3.035
1.238978802,3.030
1.238983922,3.030
1.238989042,3.030
1.238994162,3.024
1.238999282,3.024
1.239004402,3.024
1.239009522,3.024
1.239014642,3.019
1.239019762,3.019
1.239024882,3.019
1.239030002,3.019
1.239035122,3.019
1.239040242,3.019
1.239045362,3.019
1.239050482,3.014
1.239055602,3.014
1.239060722,3.014
1.239065842,3.014
1.239070962,3.014
1.239076082,3.014
1.239081202,3.014
1.239086322,0.736
1.239091442,0.013
1.239096562,0.013
1.239101682,0.008
1.239106802,0.003
1.239111922,0.003
1.239117042,-0.002
1.239122162,-0.002
1.239127282,-0.002
1.239132402,-0.002
1.239137522,-0.002
1.239142642,-0.007
1.239147762,-0.007
1.239152882,-0.007
1.239158002,-0.007
1.239163122,-0.007
1.239168242,-0.007
1.239173362,-0.007
1.239178482,-0.007
1.239183602,-0.007
1.239188722,-0.007
1.239193842,-0.007
1.239198962,-0.007
1.239204082,-0.007
1.239209202,-0.007
1.239214322,-0.002
1.239219442,3.040
1.239224562,2.958
1.239229682,2.963
1.239234802,2.968
1.239239922,2.973
1.239245042,2.978
1.239250162,2.978
1.239255282,2.978
1.239260402,2.978
1.239265522,2.978
1.239270642,2.978
1.239275762,2.978
1.239280882,2.978
1.239286002,2.978
1.239291122,2.978
1.239296242,2.978
1.239301362,2.978
1.239306482,2.978
1.239311602,2.978
1.239316722,2.978
1.239321842,2.978
1.239326962,2.978
1.239332082,2.978
1.239337202,2.978
1.239342322,2.978
1.239347442,2.978
1.239352562,2.978
1.239357682,2.978
1.239362802,2.978
1.239367922,2.978
1.239373042,2.978
1.239378162,2.978
1.239383282,2.978
1.239388402,2.978
1.239393522,2.978
1.239398642,2.978
1.239403762,2.978
1.239408882,2.978
1.239414002,2.978
1.239419122,2.978
1.239424242,2.978
1.239429362,2.978
1.239434482,2.978
1.239439602,2.978
1.239444722,2.978
1.239449842,2.978
1.239454962,2.978
1.239460082,2.978
1.239465202,2.978
1.239470322,2.978
1.239475442,2.978
1.239480562,2.978
1.239485682,2.978
1.239490802,2.978
1.239495922,2.978
1.239501042,2.978
1.239506162,2.978
1.239511282,2.978
1.239516402,2.973
1.239521522,2.978
1.239526642,2.978
1.239531762,2.973
1.239536882,2.973
1.239542002,2.973
1.239547122,2.973
1.239552242,2.973
1.239557362,2.973
1.239562482,2.978
1.239567602,2.978
1.239572722,2.978
1.239577842,2.978
1.239582962,2.973
1.239588082,2.973
1.239593202,2.973
1.239598322,1.429
1.239603442,0.018
1.239608562,0.013
1.239613682,0.008
1.239618802,0.003
1.239623922,0.003
1.239629042,-0.002
1.239634162,-0.002
1.239639282,-0.002
1.239644402,-0.007
1.239649522,-0.007
1.239654642,-0.002
1.239659762,-0.007
1.239664882,-0.007
1.239670002,-0.007
1.239675122,-0.007
1.239680242,-0.007
1.239685362,-0.007
1.239690482,-0.007
1.239695602,-0.007
1.239700722,-0.007
1.239705842,-0.007
1.239710962,-0.007
1.239716082,-0.007
1.239721202,-0.007
1.239726322,-0.007
1.239731442,-0.007
1.239736562,-0.007
1.239741682,-0.007
1.239746802,-0.007
1.239751922,-0.007
1.239757042,-0.007
1.239762162,-0.007
1.239767282,-0.007
1.239772402,-0.007
1.239777522,-0.007
1.239782642,-0.007
1.239787762,-0.007
1.239792882,-0.007
1.239798002,-0.007
1.239803122,-0.007
1.239808242,-0.007
1.239813362,-0.007
1.239818482,-0.007
1.239823602,-0.007
1.239828722,-0.007
1.239833842,-0.007
1.239838962,-0.007
1.239844082,-0.007
1.239849202,-0.007
1.239854322,-0.007
1.239859442,-0.007
1.239864562,-0.007
1.239869682,-0.007
1.239874802,-0.007
1.239879922,-0.007
1.239885042,-0.007
1.239890162,-0.007
1.239895282,-0.007
1.239900402,-0.007
1.239905522,-0.007
1.239910642,-0.007
1.239915762,-0.007
1.239920882,-0.007
1.239926002,-0.007
1.239931122,-0.007
1.239936242,-0.007
1.239941362,-0.007
1.239946482,-0.007
1.239951602,-0.007
1.239956722,-0.007
1.239961842,-0.007
1.239966962,-0.007
1.239972082,-0.007
1.239977202,-0.007
1.239982322,0.562
1.239987442,2.932
1.239992562,2.958
1.239997682,2.958
1.240002802,2.963
1.240007922,2.968
1.240013042,2.968
1.240018162,2.973
1.240023282,2.973
1.240028402,2.973
1.240033522,2.973
1.240038642,2.973
1.240043762,2.973
1.240048882,2.973
1.240054002,2.973
1.240059122,2.973
1.240064242,2.973
1.240069362,2.973
1.240074482,2.973
1.240079602,2.973
1.240084722,2.973
1.240089842,2.973
1.240094962,2.973
1.240100082,2.973
1.240105202,2.973
1.240110322,2.973
1.240115442,2.973
1.240120562,2.973
1.240125682,2.973
1.240130802,2.973
1.240135922,2.973
1.240141042,2.973
1.240146162,2.973
1.240151282,2.973
1.240156402,2.973
1.240161522,2.973
1.240166642,2.973
1.240171762,2.973
1.240176882,2.973
1.240182002,2.973
1.240187122,2.973
1.240192242,2.973
1.240197362,2.973
1.240202482,2.973
1.240207602,2.973
1.240212722,2.973
1.240217842,2.973
1.240222962,2.973
1.240228082,2.973
1.240233202,2.973
1.240238322,2.973
1.240243442,2.973
1.240248562,2.973
1.240253682,2.973
1.240258802,2.973
1.240263922,2.973
1.240269042,2.973
1.240274162,2.973
1.240279282,2.973
1.240284402,2.973
1.240289522,2.973
1.240294642,2.973
1.240299762,2.973
1.240304882,2.973
1.240310002,2.973
1.240315122,2.973
1.240320242,2.973
1.240325362,2.973
1.240330482,2.973
1.240335602,2.973
1.240340722,2.973
1.240345842,2.973
1.240350962,2.973
1.240356082,2.973
1.240361202,2.476
1.240366322,0.039
1.240371442,0.013
1.240376562,0.008
1.240381682,0.008
1.240386802,0.003
1.240391922,-0.002
1.240397042,-0.002
1.240402162,-0.002
1.240407282,-0.007
1.240412402,-0.002
1.240417522,-0.007
1.240422642,-0.007
1.240427762,-0.007
1.240432882,-0.007
1.240438002,-0.007
1.240443122,-0.007
1.240448242,-0.007
1.240453362,-0.007
1.240458482,-0.007
1.240463602,-0.007
1.240468722,-0.007
1.240473842,-0.007
1.240478962,-0.007
1.240484082,-0.007
1.240489202,-0.007
1.240494322,-0.007
1.240499442,-0.007
1.240504562,-0.007
1.240509682,-0.007
1.240514802,-0.007
1.240519922,-0.007
1.240525042,-0.007
1.240530162,-0.007
1.240535282,-0.007
1.240540402,-0.007
1.240545522,-0.007
1.240550642,-0.007
1.240555762,-0.007
1.240560882,-0.007
1.240566002,-0.007
1.240571122,-0.007
1.240576242,-0.007
1.240581362,-0.007
1.240586482,-0.007
1.240591602,-0.007
1.240596722,-0.007
1.240601842,-0.007
1.240606962,-0.007
1.240612082,-0.007
1.240617202,-0.007
1.240622322,-0.007
1.240627442,-0.007
1.240632562,-0.007
1.240637682,-0.007
1.240642802,-0.007
1.240647922,-0.007
1.240653042,-0.007
1.240658162,-0.007
1.240663282,-0.007
1.240668402,-0.007
1.240673522,-0.007
1.240678642,-0.007
1.240683762,-0.007
1.240688882,-0.007
1.240694002,-0.007
1.240699122,-0.007
1.240704242,-0.007
1.240709362,-0.007
1.240714482,-0.007
1.240719602,-0.007
1.240724722,-0.007
1.240729842,-0.007
1.240734962,-0.007
1.240740082,-0.007
1.240745202,-0.007
1.240750322,2.676
1.240755442,2.953
1.240760562,2.953
1.240765682,2.958
1.240770802,2.963
1.240775922,2.968
1.240781042,2.968
1.240786162,2.968
1.240791282,2.973
1.240796402,2.968
1.240801522,2.968
1.240806642,2.968
1.240811762,2.973
1.240816882,2.973
1.240822002,2.973
1.240827122,2.973
1.240832242,2.973
1.240837362,2.968
1.240842482,2.968
1.240847602,2.968
1.240852722,2.973
1.240857842,2.968
1.240862962,2.968
1.240868082,2.968
1.240873202,2.968
1.240878322,2.973
1.240883442,2.973
1.240888562,2.968
1.240893682,2.968
1.240898802,2.968
1.240903922,2.968
1.240909042,2.968
1.240914162,2.968
1.240919282,2.973
1.240924402,2.968
1.240929522,2.968
1.240934642,2.968
1.240939762,2.968
1.240944882,2.968
1.240950002,2.968
1.240955122,2.968
1.240960242,2.968
1.240965362,2.968
1.240970482,2.968
1.240975602,2.968
1.240980722,2.968
1.240985842,2.968
1.240990962,2.968
1.240996082,2.968
1.241001202,2.968
1.241006322,2.968
1.241011442,2.968
1.241016562,2.968
1.241021682,2.968
1.241026802,2.968
